Old Sorcerer Hat,1.5,1.3,1.3,1.5,4.9,4.3,4.5,4.9,11,15,12,28,0.6,1.2
Ordained Hood,2,1.4,2.8,1,5.2,4,4.6,4.5,9,19,21,32,0.4,1.9
Outrider Knight Helm,4.4,2.8,4.2,4.4,2.3,3.1,2.3,1.1,17,12,32,5,2.8,3.8
Painting Guardian Hood,1.9,1.5,1.9,1.9,4.3,1.9,2.3,1.9,25,30,15,25,0.6,1.4
Pharis's Hat,2.7,2.2,2.7,2.7,3.6,3.9,4.1,3.6,17,26,24,20,1.4,2.3
Pontiff Knight Crown,2.8,1.4,2.8,2.5,4.7,3.3,4.3,5,15,12,31,10,2,2.7
Pyromancer Crown,0.7,0.7,0.7,0.7,4.2,4.8,3.6,4,9,14,15,21,0,1.1
Ragged Mask,1.1,1.1,1.1,1.1,3.8,3.2,3.5,3.8,13,25,7,29,0.4,0.7
Ringed Knight Hood,1.1,0.8,1.7,0.9,4.2,4.4,4.5,4,12,18,14,33,0.2,1.4
Ruin Sentinel Helm,4.6,4.3,5.5,4.6,4.2,3.8,4,3.4,25,24,13,12,6.1,5.4
Sage's Big Hat,2.5,2,2,1.6,5.2,3.6,4.6,4.6,15,21,13,26,0.4,1.9
Sellsword Helm,3.1,3.3,3.6,3.9,2.7,2.7,2.7,2.7,27,17,16,12,3.5,3.1
Shadow Mask,2.5,2.2,1.7,2.5,2,1.5,2,1.1,15,18,20,18,0.4,1.5
Shira's Crown,0.8,0.9,0.8,1,4.4,4.3,4.1,3.9,5,16,11,30,0.2,1
Silver Knight Helm,5.1,4.7,6,5.8,4.9,4.7,4.3,4.3,24,19,17,13,6.8,5.9
Silver Mask,3.3,3.9,3.3,3.3,3.5,4.2,3.3,2.8,19,27,28,27,1.9,3.3
Slave Knight Hood,4.8,3.8,4.8,3.6,2,2.8,2,2.5,26,14,15,9,3,3.8
Smough's Helm,6.8,7,6.7,5.8,4.7,4.6,4.9,4.9,27,27,27,24,9.9,11.8
Sneering Mask,1.4,1.7,1.4,1.1,3.6,4.1,2.4,1.6,35,28,22,20,0.5,2.1
Sorcerer Hood,1,1,1,0.9,4.4,4,4.2,4.5,11,18,14,30,0.1,1.4
Standard Helm,3.7,3.7,3.7,3.7,3,3.3,2.4,3,22,29,27,24,2.5,3.7
Steel Soldier Helm,4.4,3.8,4.4,4.2,2.9,2.9,2,3.7,27,18,18,13,3.2,4.6
Sunless Veil,1.7,1.2,1.2,1.3,5.2,4.7,4.8,5.3,7,14,10,30,0.7,1.8
Sunset Helm,5.3,4.5,5.3,4.9,3.2,3.7,2.6,3.7,26,25,14,15,3.4,4.8
Symbol of Avarice,5.8,5.6,5,4.4,4.1,3.4,4.8,3.8,27,27,27,22,8.9,10.6
Thief Mask,2.2,2.5,2.2,2.2,2.2,2.5,2.8,2.2,23,26,21,17,0.6,2.1
Thrall Hood,2,1.4,1.6,1.2,4.2,3.8,4,4.2,17,28,19,38,0.8,1.5
Undead Legion Helm,3.8,4,2.6,3.5,4.7,4.8,4.9,4.2,19,24,29,21,2.3,4
Vilhelm's Helm,4.6,3.6,4.6,5.2,3.4,4.4,2,4,19,15,16,13,4.4,4.8
White Preacher Head,2.6,4.2,4,4,4.6,3.8,4,2.9,17,28,24,29,2.6,3.5
Winged Knight Helm,6.7,5.4,6.7,6.3,4.3,5,4.7,5.7,31,29,29,18,6.9,7
Wolf Knight Helm,4.4,3.8,4.4,4.4,3,4.2,2.2,3.8,23,16,17,17,2.9,4.2
Wolnir's Crown,3.1,3.1,3.1,2.8,3.9,4.3,4.5,4.9,18,29,27,37,1.8,3.4
Worker Hat,1.9,2.7,2.2,2.2,3,2.5,2.5,4.5,16,31,20,27,1.1,2.3
Xanthous Crown,2.1,2.6,2.6,2.1,4.6,2.2,4.8,4.6,21,27,24,27,1.3,3
